bookID,title,authors,isbn13,language_code,  num_pages,publication_date,publisher,in_stock,copyID,uID
13570,Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,CLAMP/Anthony Gerard,9780345470577,eng,197,4/27/2004,Del Rey,3,0,b13570c0
13570,Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,CLAMP/Anthony Gerard,9780345470577,eng,197,4/27/2004,Del Rey,3,1,b13570c1
13570,Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,CLAMP/Anthony Gerard,9780345470577,eng,197,4/27/2004,Del Rey,3,2,b13570c2
4676,Cliffs Notes on Fitzgerald's the Great Gatsby,Kate Maurer/F. Scott Fitzgerald/CliffsNotes,9780764586019,eng,96,6/5/2000,Cliffs Notes,1,0,b4676c0
15930,Wokini: A Lakota Journey to Happiness and Self-Understanding,Billy Mills/Nicholas Sparks,9781561706600,eng,175,6/1/2003,Hay House,1,0,b15930c0
9487,A Time to Embrace (Timeless Love  #2),Karen Kingsbury,9781595542328,eng,400,10/29/2006,Thomas Nelson,2,0,b9487c0
9487,A Time to Embrace (Timeless Love  #2),Karen Kingsbury,9781595542328,eng,400,10/29/2006,Thomas Nelson,2,1,b9487c1
23056,Image-Music-Text,Roland Barthes/Stephen Heath,9780006861355,eng,220,9/13/1993,Fontana Press,2,0,b23056c0
23056,Image-Music-Text,Roland Barthes/Stephen Heath,9780006861355,eng,220,9/13/1993,Fontana Press,2,1,b23056c1
11289,The Rise of Endymion (Hyperion Cantos  #4),Dan Simmons,9780553572988,eng,709,7/1/1998,Spectra,3,0,b11289c0
11289,The Rise of Endymion (Hyperion Cantos  #4),Dan Simmons,9780553572988,eng,709,7/1/1998,Spectra,3,1,b11289c1
11289,The Rise of Endymion (Hyperion Cantos  #4),Dan Simmons,9780553572988,eng,709,7/1/1998,Spectra,3,2,b11289c2
44684,Queen of Sorcery (The Belgariad  #2),David Eddings,9780552148085,eng,447,8/3/2000,Corgi Books (Adult),1,0,b44684c0
11184,Bold Land  Bold Love (Australian Trilogy  #1),Connie Mason,9780505522740,eng,469,8/1/1998,Love Spell,1,0,b11184c0
2794,The Crying of Lot 49,Thomas Pynchon,9780060913076,eng,152,10/17/2006,Harper Perennial,4,0,b2794c0
2794,The Crying of Lot 49,Thomas Pynchon,9780060913076,eng,152,10/17/2006,Harper Perennial,4,1,b2794c1
2794,The Crying of Lot 49,Thomas Pynchon,9780060913076,eng,152,10/17/2006,Harper Perennial,4,2,b2794c2
2794,The Crying of Lot 49,Thomas Pynchon,9780060913076,eng,152,10/17/2006,Harper Perennial,4,3,b2794c3
16267,Michael Tolliver Lives (Tales of the City  #7),Armistead Maupin,9780060761356,en-US,277,6/12/2007,Harper,2,0,b16267c0
16267,Michael Tolliver Lives (Tales of the City  #7),Armistead Maupin,9780060761356,en-US,277,6/12/2007,Harper,2,1,b16267c1
45479,The Subtle Knife (His Dark Materials  #2),Philip Pullman/Ian Beck,9780375846724,eng,326,9/1/2007,Alfred A. Knopf Books for Young Readers,2,0,b45479c0
45479,The Subtle Knife (His Dark Materials  #2),Philip Pullman/Ian Beck,9780375846724,eng,326,9/1/2007,Alfred A. Knopf Books for Young Readers,2,1,b45479c1
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,9780394720241,eng,1344,7/12/1975,Vintage,3,0,b1111c0
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,9780394720241,eng,1344,7/12/1975,Vintage,3,1,b1111c1
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,9780394720241,eng,1344,7/12/1975,Vintage,3,2,b1111c2
14318,Chronicles: Volume One,Bob Dylan,9780743244589,eng,320,9/13/2005,Simon  Schuster,3,0,b14318c0
14318,Chronicles: Volume One,Bob Dylan,9780743244589,eng,320,9/13/2005,Simon  Schuster,3,1,b14318c1
14318,Chronicles: Volume One,Bob Dylan,9780743244589,eng,320,9/13/2005,Simon  Schuster,3,2,b14318c2
16307,Hallowe'en Party (Hercule Poirot  #39),Agatha Christie,9780007120680,eng,336,9/3/2001,Harper,3,0,b16307c0
16307,Hallowe'en Party (Hercule Poirot  #39),Agatha Christie,9780007120680,eng,336,9/3/2001,Harper,3,1,b16307c1
16307,Hallowe'en Party (Hercule Poirot  #39),Agatha Christie,9780007120680,eng,336,9/3/2001,Harper,3,2,b16307c2
24711,The Dance of the Dissident Daughter,Sue Monk Kidd,9780060645892,eng,256,8/20/2002,HarperOne,3,0,b24711c0
24711,The Dance of the Dissident Daughter,Sue Monk Kidd,9780060645892,eng,256,8/20/2002,HarperOne,3,1,b24711c1
24711,The Dance of the Dissident Daughter,Sue Monk Kidd,9780060645892,eng,256,8/20/2002,HarperOne,3,2,b24711c2
14604,The Day the Country Died: A History of Anarcho-Punk  1980-1984,Ian Glasper,9781901447705,eng,375,3/1/2007,Cherry Red Books,1,0,b14604c0
33567,In the Pond,Ha Jin,9780099428169,en-GB,160,1/3/2002,Vintage,2,0,b33567c0
33567,In the Pond,Ha Jin,9780099428169,en-GB,160,1/3/2002,Vintage,2,1,b33567c1
37077,The Lady in Question (Effingtons  #7),Victoria Alexander,9780060517618,eng,384,11/25/2003,Avon,2,0,b37077c0
